episode,betabernoulli_ts_reward_mean,betabernoulli_ts_reward_std,betabernoulli_ts_regret_mean,betabernoulli_ts_regret_std,gaussian_hierarchical_ts_reward_mean,gaussian_hierarchical_ts_reward_std,gaussian_hierarchical_ts_regret_mean,gaussian_hierarchical_ts_regret_std,contextual_bayesian_ts_reward_mean,contextual_bayesian_ts_reward_std,contextual_bayesian_ts_regret_mean,contextual_bayesian_ts_regret_std,epsilongreedy_reward_mean,epsilongreedy_reward_std,epsilongreedy_regret_mean,epsilongreedy_regret_std,ucb_reward_mean,ucb_reward_std,ucb_regret_mean,ucb_regret_std
1,0.6666666666666666,0.4714045207910317,0.46666666666666673,0.2494438257849294,0.23990443967303055,0.3350628669351603,0.3333333333333334,0.1885618083164127,0.6666666666666666,0.4714045207910317,0.5656810880282394,0.222644155552904,0.3333333333333333,0.4714045207910317,0.5333333333333333,0.37712361663282534,0.6666666666666666,0.4714045207910317,0.8000000000000002,1.1102230246251565e-16
2,1.3333333333333333,0.4714045207910317,0.6000000000000001,0.16329931618554516,0.9392523992847966,0.6259018747313382,0.8000000000000002,0.43204937989385733,1.0,0.0,0.9187225770191545,0.21686726085689886,0.6666666666666666,0.9428090415820634,1.0666666666666667,0.7542472332656507,0.6666666666666666,0.4714045207910317,1.6000000000000003,2.220446049250313e-16
3,2.0,0.816496580927726,0.8666666666666668,0.09428090415820628,1.177624219660987,1.161579293630557,1.2000000000000002,0.6531972647421808,1.6666666666666667,0.4714045207910317,0.9251973026724879,0.213347037248336,1.0,0.816496580927726,1.3333333333333333,0.9977753031397179,0.6666666666666666,0.4714045207910317,2.2,0.0
4,2.6666666666666665,1.247219128924647,1.2000000000000002,0.43204937989385733,1.7374232755636727,1.0116764141851702,1.5333333333333334,0.4714045207910317,2.0,0.816496580927726,1.152147012264004,0.3338946841138214,1.6666666666666667,1.247219128924647,1.6000000000000003,1.3063945294843617,1.6666666666666667,0.4714045207910317,2.6,0.0
5,3.3333333333333335,0.9428090415820634,1.4666666666666668,0.6798692684790381,2.226771971194009,0.9697451981697135,1.9333333333333336,0.18856180831641264,2.0,0.816496580927726,1.6396843960856702,0.4157285570648869,2.0,1.632993161855452,1.8666666666666665,1.6438437341250607,2.3333333333333335,0.4714045207910317,2.8000000000000003,0.0
6,3.6666666666666665,1.247219128924647,1.866666666666667,0.8219218670625303,2.8800206233494188,0.9368604784259384,2.2000000000000006,0.28284271247461906,2.0,0.816496580927726,2.2819142143219833,0.49640837705978846,2.6666666666666665,2.0548046676563256,2.1333333333333333,1.9955506062794355,3.3333333333333335,0.4714045207910317,2.8000000000000003,0.0
7,4.333333333333333,1.699673171197595,2.1333333333333333,1.0624918300339488,3.623345085441104,0.9227108277206351,2.2000000000000006,0.28284271247461906,2.3333333333333335,0.4714045207910317,2.543833942886785,0.37511231963912606,3.6666666666666665,2.0548046676563256,2.1333333333333333,1.9955506062794355,4.0,0.816496580927726,3.2000000000000006,4.440892098500626e-16
8,5.0,2.160246899469287,2.733333333333333,1.2256517540566825,4.214557418196542,1.4665470696463832,2.4666666666666672,0.573488351136175,3.0,0.0,2.953762931346322,0.5506314547435002,4.333333333333333,2.494438257849294,2.1333333333333333,1.9955506062794355,4.666666666666667,1.247219128924647,3.3333333333333335,0.09428090415820643
9,6.0,2.160246899469287,3.1333333333333333,1.3199326582148887,4.756986396202735,1.3696365080989166,2.866666666666667,0.5249338582674539,3.3333333333333335,0.4714045207910317,3.443913458311061,0.45991949038765606,5.0,2.449489742783178,2.1333333333333333,1.9955506062794355,5.0,0.816496580927726,3.466666666666667,0.09428090415820621
10,6.333333333333333,1.699673171197595,3.4000000000000004,1.0708252269472673,5.734523039151376,1.4454128525324026,3.066666666666667,0.573488351136175,3.3333333333333335,0.4714045207910317,4.026942790296786,0.4847577539520496,5.666666666666667,2.494438257849294,2.1333333333333333,1.9955506062794355,5.333333333333333,0.9428090415820634,3.6,0.16329931618554516
11,6.666666666666667,1.8856180831641267,3.8000000000000007,1.0198039027185573,6.68848441053078,1.4557173410939348,3.266666666666667,0.5249338582674539,3.3333333333333335,0.4714045207910317,4.407995653691489,0.7023919422088152,6.333333333333333,2.0548046676563256,2.1333333333333333,1.9955506062794355,6.0,0.816496580927726,3.6666666666666665,0.2494438257849293
